MUNICIPALITY,POPULATION,TOTAL EXPENDITURES,TOP EXPENDITURE CATEGORY,TOP EXPENDITURE,TOP EXPENDITURE % OF TOTAL ,2ND EXPENDITURE CATEGORY,2ND EXPENDITURE,2ND EXPENDITURE % OF TOTAL ,3RD EXPENDITURE CATEGORY,3RD EXPENDITURE,3RD EXPENDITURE % OF TOTAL ,ADMIN EXPENDITURE,ADMINISTRATION % OF TOTAL EXPENDITURES
Ballwin,30577,21258617,Police,5533467,0.260292896758053,Parks & Recreation,4263650,0.200561024266066,Public Works,3121347,0.146827378281475,3087365,0.145228873543373
Bel-Nor,1482,660786,Salary & Wages,334503,0.506219865432984,Police,123574,0.187010620685063,Operating Expenses,123327,0.186636823419382,123327,0.186636823419382
Bel-Ridge,2722,1837679,Police,931399,0.50683443626444,Administration,442701,0.240902246801536,Highways and streets,188154,0.102386760691067,442701,0.240902246801536
Bella Villa,740,559528,Police,311472,0.556669192605196,Municipal Court,76275,0.136320255644043,Administration,63452,0.113402725154058,63452,0.113402725154058
Bellefontaine Neighbors,10798,7671258,Police,2366717,0.308517455676761,Administration,1360590,0.177362044139305,Habilitation,1073444,0.139930634584315,1360590,0.177362044139305
Bellerive Acres,189,Information Not Provided,Information Not Provided,Information Not Provided,,Information Not Provided,Information Not Provided,,Information Not Provided,Information Not Provided,,Information Not Provided,
Berkeley,9073,9265679,Public Safety,4237037,0.457282947099721,General Government,2105028,0.227185509016662,Public Works,1111781,0.119989155678715,2105028,0.227185509016662
Beverly Hills,566,620181,Payroll and benefits,295923,0.477155862562703,Office Expenses,165704,0.26718651490452,Capital Outlay,53516,0.0862909376456228,165704,0.26718651490452
Black Jack,6947,2595608,Police,750015,0.288955420078841,Administration,631078,0.243133015463044,Public Works,504987,0.194554416537474,631078,0.243133015463044
Breckenridge Hills,4715,2102094,Police,1090609,0.518820281110169,Administration,436432,0.207617737360936,Public Works,306206,0.145667130014167,436432,0.207617737360936
Brentwood,8057,28337074,Capital Outlay,9587644,0.338342766087988,Debt Service,4665644,0.164648050818514,Administration,3404617,0.120147090698214,3404617,0.120147090698214
Bridgeton,11786,36614399,Capital Outlay,16707542,0.456310698968458,Public Safety,5232306,0.142902960116865,General Government,4402090,0.12022838337453,4402090,0.12022838337453
Calverton Park,1288,853347,Police,497191,0.582636371839357,Insurance,106595,0.124914015048978,Administration,80380,0.094193803927359,80380,0.094193803927359
Champ,13,42484,Police,29134,0.68576405234912,Engineering,6273,0.147655587986065,Insuance,5000,0.117691366161378,2077,0.0488889935034366
Charlack,1371,866108.44,Police,254615.73,0.293976733444602,,,0,,,0,,0
Chesterfield,47864,38423390,Police,9100819,0.236856222212564,Capital Outlay,7637252,0.198765699746951,Public Works,6094766,0.158621246069126,3063014,0.0797174325326318
Clarkson Valley,2652,895889,Public Safety,409340,0.456909282288319,Administration,238441,0.266150159227315,Sanitation,135108,0.150808861365638,238441,0.266150159227315
Clayton,15884,30346859,Public Safety,10459971,0.344680515370635,Public Works,5652642,0.186267778157865,General Government,3112501,0.102564189592076,3112501,0.102564189592076
Cool Valley,1187,1477940,Police,515727,0.348949889711355,Capital Outlay,455357,0.308102494011935,Administration,203376,0.137607751329553,203376,0.137607751329553
Country Club Hills,1272,956419,Police,395246,0.413256114736324,Administration,301617,0.315360736246352,Economic Development,146165,0.152825278460591,301617,0.315360736246352
Country Life Acres,74,91781,Fire,42476,0.462797310990292,Solid Waste Management,14611,0.159194168727732,Police,11067,0.120580512306469,600,0.00653730074852094
Crestwood,11966,11974624,Capital Outlay,2887254,0.241114376534912,Fire,2606414,0.21766144807553,Police & Municipal Courts,2550975,0.213031741121892,1263400,0.105506444294201
Creve Coeur,18276,17422398,Public Safety,6350570,0.364506080047075,Public Works,3998481,0.229502333720077,General Government,3156302,0.181163465557382,3156302,0.181163465557382
Crystal Lake Park,499,380812,Capital Improvements,171610,0.450642311691859,Public Safety,121170,0.318188502463158,Administration,52677,0.138328098904446,52677,0.138328098904446
Dellwood,5011,2910504,Police,1113629,0.38262410908901,General Government,575505,0.197733794559293,Recreation Center,422014,0.144996880265411,575505,0.197733794559293
Des Peres,8572,22980737,Capital Outlay,6520730,0.283747644820965,Public Safety,6082064,0.264659223070174,Parks and Recreation,4478943,0.194899885064609,1877279,0.0816892426034901
Edmundson,837,1940744,Police,987867,0.509014584097645,Capital Outlay,273599,0.140976347215295,Public Works,224979,0.115924099211436,188517,0.0971364590074734
Ellisville,9284,9264826,Police,2142474,0.231248163753966,Capital Outlay,2019593,0.217984989680324,Administrative,1693738,0.182813794884005,1693738,0.182813794884005
Eureka,10602,10665368.48,Police,2815741.51,0.264007897643683,Park Department,1619606.47,0.151856588268575,Public Works,1343660.65,0.125983518761651,1082319.59,0.101479812163039
