MUNICIPALITY,POPULATION,TOTAL REVENUE,PROPERTY TAX REVENUE,PROPERTY TAX % OF TOTAL REVENUE,SALES TAX REVENUE,SALES TAX % OF TOTAL REVENUE,GROSS UTILITY RECEIPTS,GROSS UTILITY % OF TOTAL REVENUE,COURT FINES AND FEES REVENUE (CAFR),COUR FINES AND FEES % OF TOTAL REVENUE
Ballwin,30577,21670746,0,0,9745004,0.449684750123507,4232176,0.195294430565519,658412,0.0303825258253684
Bel-Nor,1482,713161,176858,0.24799168771147,416151,0.583530226694954,46594,0.0653344756653827,32249,0.0452198031019644
Bel-Ridge,2722,2303725,275024,0.119382304745575,921885,0.400171461437455,80674,0.035018936722048,196425,0.0852640831696492
Bella Villa,740,630097,0,0,164976,0.261826353720142,52939,0.0840172227450694,331777,0.526549086886622
Bellefontaine Neighbors,10798,7268922,745347,0.102538863396801,268339,0.0369159278363422,1408961,0.193833556062371,744671,0.102445864737577
Bellerive Acres,189,Information Not Provided,Information Not Provided,,Information Not Provided,,Information Not Provided,,Information Not Provided,
Berkeley,9073,13071770,2205264,0.1687043147179,3662606,0.280192047442695,2521293,0.192880765190942,961685,0.0735696084003926
Beverly Hills,566,483880,17748,0.0366785153343804,108075,0.223350830784492,97834,0.202186492518806,60260,0.124535008679838
Black Jack,6947,2949951,354076,0.120027756393242,1586894,0.537939104751231,367799,0.124679698069561,75436,0.0255719501781555
Breckenridge Hills,4715,2224048,106243,0.0477701020841277,963061,0.433021679388215,261358,0.117514550045682,436855,0.196423368560391
Brentwood,8057,23772078,4014673,0.168881870571012,13809326,0.580905295700275,3007430,0.126511026928315,236784,0.00996059326408066
Bridgeton,11786,22899318,990624,0.0432599783102711,12329531,0.538423502394263,2988977,0.130526900408126,292342,0.0127664064056406
Calverton Park,1288,890744,46139,0.0517982720063228,289639,0.32516525511258,94107,0.105649883692733,284215,0.31907596346425
Champ,13,60054,0,0,0,0,48833,0.813151496986046,0,0
Charlack,1371,961377.86,25910.07,0.0269509743026535,285532.43,0.297003334360123,233600.63,0.242985239955495,184496.71,0.191908632054414
Chesterfield,47864,38977774,3872,0.0000993386641320256,20150313,0.516969311792921,8001265,0.20527762821961,1065157,0.027327291702189
Clarkson Valley,2652,950474,146398,0.154026306874254,411636,0.433084966027477,121733,0.12807609676856,127920,0.13458548050762
Clayton,15884,31241595,8058411,0.257938527146261,7085858,0.226808458402972,5434842,0.17396173274764,1200721,0.038433409049698
Cool Valley,1187,1201005,36728,0.0305810550330765,244720,0.203762682087085,203612,0.169534681371018,198341,0.16514585701142
Country Club Hills,1272,869150,125218,0.144069493182995,414563,0.476975205660703,130595,0.150255997238681,57509,0.0661669447161019
Country Life Acres,74,101164,28019,0.276966114428057,10857,0.107320786050374,2148,0.0212328496303033,0,0
Crestwood,11966,12230980,1046205,0.0855372995459072,6001451,0.490676217277765,1561058,0.127631473520519,201334,0.0164609867729323
Creve Coeur,18276,18688569,547335,0.0292871540886838,7024743,0.375884477832412,5586528,0.29892754228534,1137913,0.060888182503433
Crystal Lake Park,499,321563,124903,0.388424663285266,100461,0.312414674573878,39167,0.121801948607271,0,0
Dellwood,5011,2814938,180548,0.0641392456956423,1554570,0.552257278845928,537092,0.190800649961029,215647,0.0766080815989553
Des Peres,8572,20893256,0,0,12738521,0.609695348585209,1179676,0.0564620468920689,270861,0.0129640396882133
Edmundson,837,2785911,92258,0.0331159179169758,1620749,0.581766251685714,114488,0.0410953544459963,205217,0.0736624393241565
Ellisville,9284,10150399,611017,0.0601963528724339,6202534,0.611063072495968,2091844,0.206084903657482,139110,0.0137048799756542
Eureka,10602,10395951.96,844864.09,0.0812685642691254,5786238.39,0.556585718389564,1259439.27,0.121147084446512,182404.91,0.0175457630721872
Fenton,4052,11619442,0,0,7118831,0.612665479116811,1482151,0.127557846581617,320608,0.0275923749178317
Ferguson,21059,16150245,2912473,0.180336149699277,6507636,0.402943484758281,2406507,0.149007460877528,1050276,0.0650315831122067
Flordell Hills,814,434984.92,81410.67,0.187157453642301,159713.38,0.367169923959663,37505.08,0.0862215637268529,69337.25,0.159401502930263
Florissant,52268,31446494,0,0,15482878,0.492356254404704,6202723,0.197246885455657,2020922,0.0642654154068813
Frontenac,3574,8867109,1192587,0.134495583622576,4696912,0.52970049200929,544789,0.0614393033851281,362531,0.0408849152525361
Glen Echo Park,160,43526,9473,0.217640031245692,21872,0.502504250333134,1041,0.0239167394201167,0,0
Glendale,5927,4631598,673012,0.145308811343299,1823103,0.393622892142194,888466,0.191827097256714,109828,0.0237127660906668
Grantwood Village,866,456602,No Breakdown Provided,,383181,0.839201317558837,No Breakdown Provided,,22881,0.0501114756396161
Green Park,2640,1845829,0,0,893274,0.48394190361079,552487,0.299316458891912,0,0
Greendale,653,399335,28084,0.0703269185020096,145509,0.364378278888652,67682,0.169486771758048,30905,0.0773911628081686
Hanley Hills,2126,817781,108604,0.132803281074028,496706,0.607382661128102,56809,0.0694672534578328,37272,0.0455769943297778
Hazelwood,25661,39322693,10890745,0.276958269363698,14738292,0.374803729744552,399153,0.0101507035644787,1081830,0.0275115948950902
Hillsdale,1513,935919.19,37943.32,0.040541235189333,333139.12,0.355948594237073,69722.81,0.0744966133240627,316009.19,0.337645806792358
Huntleigh,335,156105.58,83517.52,0.535006628206372,48921.82,0.313389309978541,8008.23,0.0513000880557889,0,0
Jennings,14819,11579509,846487,0.0731021496680041,5124286,0.442530507986133,1817675,0.15697340880343,727982,0.0628681233375267
Kinloch,299,411453.57,29918.91,0.0727151547135683,272850.03,0.66313686377785,20963.58,0.0509500500870609,36191.25,0.0879594992941731
Kirkwood,27750,28487354,3123488,0.109644721654387,11264862,0.395433777387679,5431166,0.190651823963714,477188,0.0167508712813412
Ladue,8597,16507893,4510263,0.273218574896263,4563225,0.276426858351941,3089497,0.187152715370762,358412,0.0217115533763152
Lakeshire,1428,584234.74,52732.02,0.0902582752953034,303614.26,0.519678545647594,114621.43,0.196190712657724,19130,0.0327436879224265
Mackenzie,133,49851.52,2978.27,0.0597428122552733,20629.93,0.413827502150386,3533.75,0.0708855015855083,0,0
Manchester,18229,18988730,2053177,0.108126083208303,13482370,0.710019574768823,1816192,0.095645785684456,413661,0.0217845532586961
Maplewood,7945,15425700,2426154,0.15727999377662,7658608,0.496483660384942,1981008,0.128422567533402,876654,0.0568307434994846
Marlborough,2191,534703.45,27736.53,0.0518727343165637,299984.67,0.561029987743674,67097.95,0.125486285902962,21678.5,0.0405430337133602
Maryland Heights,27389,38139821,0,0,8634010,0.226377832239957,6144745,0.161111007836141,2094402,0.0549137868266346
Moline Acres,2431,2358604,230689,0.0978074318537576,682988,0.289572984697728,207766,0.0880885472932294,331735,0.140648875351691
Normandy,4978,4114024,104691,0.0254473479007415,1069260,0.259906116250173,720958,0.17524399468744,813836,0.197819944657591
Northwoods,4193,3585108,488736,0.136323926643214,1111010,0.30989582461672,696015,0.194140594927684,294976,0.0822781349962121
Norwood Court,962,270034,0,0,205989,0.762826162631372,12527,0.0463904545353548,275,0.00101839027677996
Oakland,1382,794793,24995,0.0314484400340718,222013,0.279334367564888,136515,0.17176170399085,83547,0.105117936368337
Olivette,7870,10611611,Breakdown of taxes not provided,,Breakdown of taxes not provided,,Breakdown of taxes not provided,,339011,0.0319471755985024
Overland,15959,10606660,331531,0.0312568706831368,3620610,0.341352508706794,2465886,0.232484684151279,490662,0.0462598028031444
Pacific,7161,4967818,545553,0.109817428899368,1952091,0.392947366429285,1271239,0.255894841558205,88430,0.0178005715990401
Pagedale,3312,2347484,137664,0.0586432111997356,873842,0.372246200613082,459290,0.195652025743306,255389,0.108792647788015
Pasadena Hills,923,576793,Breakdown of taxes not provided,,Breakdown of taxes not provided,,Breakdown of taxes not provided,,12513,0.0216940912944505
Pasadena Park,461,223565,13975,0.062509784626395,107626,0.481408091606468,15706,0.070252499273142,2426,0.0108514302328182
Pine Lawn,3419,1721461,Breakdown of taxes not provided,,Breakdown of taxes not provided,,294504,0.171077939029696,492653,0.286183073563676
Richmond Heights,8481,22214553,2991583,0.134667710847029,10651737,0.479493645449449,1745272,0.0785643537369399,482146,0.0217040603968038
Riverview,2835,1066694,71070,0.0666264176980465,643775,0.603523597207822,50967,0.0477803381288355,91000,0.0853103139232057
Rock Hill,4646,5195455,860002,0.16552967930624,2217492,0.426813820926175,851530,0.163899023280925,543052,0.104524435299699
Saint Ann,12940,11386420,430393,0.0377987989201171,3087738,0.271177244471924,1724868,0.151484663309451,1881905,0.165276267694324
Saint John,6464,5454750,748914,0.137295751409322,2751396,0.504403684861818,79386,0.0145535542417159,746166,0.136791970301114
Saint Louis City,311404,773473000,88648000,0.114610335460966,179362000,0.231891740241741,91778000,0.118657018409175,4009000,0.00518311563558133
Shrewsbury,6202,7186826,1133458,0.157713293740519,3020984,0.420350235277715,1042647,0.145077534922927,426057,0.059283054856205
STL County,998581,707810675,106766814,0.150840920843699,332359356,0.469559682749911,31712237,0.0448032759607645,2127729,0.00300607079710969
Sunset Hills,8539,10620069,205298,0.0193311361724674,4932346,0.464436342174425,2023048,0.190492924292676,396538,0.0373385521318176
Sycamore Hills,670,185149.12,20036.15,0.108216285338002,99326.27,0.536466335891848,15195.97,0.0820742221189061,12272.28,0.0662832207898153
Town & Country,11106,13642132,0,0,5819471,0.426580757318577,2592086,0.190005931624177,917408,0.0672481398068865
Twin Oaks,393,1225277,29469,0.0240508880848984,1071626,0.874598968233306,8493,0.00693149385812351,0,0
University City,35058,30167559,4409365,0.146162472078036,10452880,0.346494060059682,7811569,0.258939379218584,375171,0.0124362398694571
Uplands Park,446,191034.03,10561.82,0.0552876364488568,136550.28,0.71479557856786,14575.48,0.0762978198177571,5680,0.0297329224536592
Valley Park,6974,5950061.33,1356518.82,0.227984006343007,2571806.73,0.432231969951812,746648.11,0.125485783858298,110958,0.0186482111437329
