MUNICIPALITY,POPULATION,BUDGET YEAR,TOTAL REVENUE,TOTAL EXPENDITURES,POLICE
Ballwin,30577,2017,22995835,23887533,5837363
Bel-Nor,1482,2017,863850,837825,
Bel-Ridge,2722,2015,1541250,1489500,1019400
Bella Villa,740,2017,436200,500695,294675
Bellefontaine Neighbors,10798,2017,5154160,4875113,1895733
Bellerive Acres,189,Information Not Provided,Information Not Provided,Information Not Provided,N/A
Berkeley,9073,2017,13484178,21072115,3349645
Beverly Hills,566,2016,639014,651483,Breakdown Not Provided
Black Jack,6947,2017,2980025,2979308,N/A
Breckenridge Hills,4715,2015,2214146,2316956,1265994
Brentwood,8057,2017,19853093,19608798,3503551
Bridgeton,11786,2015,26035800,28004900,5370200
Calverton Park,1288,2017,872050,893664,601041
Champ,13,Information Not Provided,Information Not Provided,Information Not Provided,N/A
Charlack,1371,2017,986740,746399,N/A
Chesterfield,47864,2017,39546589,39859080,9576254
Clarkson Valley,2652,2017,925700,886591.71,N/A
Clayton,15884,2017,40264878,42329366,6784667
Cool Valley,1187,2017,1820350,1893700,N/A
Country Club Hills,1272,2017,1020532.91,1020532.91,601000
Country Life Acres,74,2016,103700,103700,N/A
Crestwood,11966,2017,10630001,11360881,2794664
Creve Coeur,18276,2017,20207061,21273802,7290342
Crystal Lake Park,499,2017,488096,467527,N/A
Dellwood,5011,2017,3686602,3288843,N/A
Des Peres,8572,2017,20275670,20211941,7033920
Edmundson,837,2017,3176345.5,1951661,1061890
Ellisville,9284,2017,10846327,13148494,2807150
Eureka,10602,2017,14836824,16379019.98,3020798
Fenton,4052,2017,12521169,12661441,N/A
Ferguson,21059,2017,16874540,17495372,4633792
Flordell Hills,814,2016,549722.92,549722.92,N/A
Florissant,52268,2017,32866314,36768969,11075172
Frontenac,3574,2017,9593325,10848441,2734597
Glen Echo Park,160,Information Not Provided,Information Not Provided,Information Not Provided,N/A
Glendale,5927,2017,4511847,4524650,1207700
Grantwood Village,866,2017,470000,576000,N/A
Green Park,2640,2017,2143900,2002400,N/A
Greendale,653,2017,375873,368555,N/A
Hanley Hills,2126,2017,784785,782913,N/A
Hazelwood,25661,2017,30373286,35541681,7861983
Hillsdale,1513,2016,930000,930000,512000
Huntleigh,335,2016,71975,156056.91,N/A
Jennings,14819,2017,8022500,7905461.72,N/A
Kinloch,299,2016,411453.57,411619.17,198742.9
Kirkwood,27750,2017,26301863,31284472,7503525
Ladue,8597,2017,14853331,15688788,4928233
Lakeshire,1428,2016,578300,601579,373940
Mackenzie,133,2015,49851.52,55061.82,N/A
Manchester,18229,2017,20881500,21504810,3550927
Maplewood,7945,2017,16908925,19806367,3837636
Marlborough,2191,2017,514038.36,529144.74,N/A
Maryland Heights,27389,2017,37012100,39154224,11186000
Moline Acres,2431,2016,1297239,1297141,563609.64
Normandy,4978,2017,4336860,4557413,2268320
Northwoods,4193,2017,2941081,3014161,728000
Norwood Court,962,2017,239520,238920,N/A
Oakland,1382,2017,758500,993620,N/A
Olivette,7870,2017,14242646,22874718,2494092
Overland,15959,2017,9359312,10075948,4669086
Pacific,7161,2017,6746763.75,7098762.13,1998600.19
Pagedale,3312,2016,2703332,3156904,1107445
Pasadena Hills,923,2016,362300,360550,N/A
Pasadena Park,461,2017,220440,221440,N/A
Pine Lawn,3419,2017,1517352,1516795,N/A
Richmond Heights,8481,2017,37781118,36197120,4648370.43
Riverview,2835,2015,1141988,1103388,631924
Rock Hill,4646,2017,6342748,7352178,998275
Saint Ann,12940,2017,14203398,12377294,4143633
Saint John,6464,2017,5452931,5655390,1762145
Saint Louis City,311404,,,,
Shrewsbury,6202,2017,9027837,9180340,2246675
STL County,998581,,,,
Sunset Hills,8539,2017,10911940,10926664,2671928
Sycamore Hills,670,2017,192545,189910,N/A
Town & Country,11106,2017,14872710,15548749,4480310
Twin Oaks,393,2017,1189400,2861700,N/A
University City,35058,2017,36743700,36731100,7915000
Uplands Park,446,2016,191034.03,162023.57,N/A
Valley Park,6974,2017,8126360,9018412.01,N/A
Velda City,1403,2017,1057377.98,1057377.98,474283.6
Velda Village Hills,1058,2017,398600,387550,N/A
Vinita Park,1886,2016,3666160,4042760,2268878
Vinita Terrace,278,2016,81000,293790,N/A
Warson Woods,1958,2016,1655850,1578016,609532
Webster Groves,23177,2017,23162093,24575210,4533501
Wellston,2323,2017,1353588,1345988,N/A
Westwood,279,Information Not Provided,Information Not Provided,Information Not Provided,N/A
Wilbur Park,477,2016,142800,124700,N/A
Wildwood,35899,2017,18840044,22991870,N/A
Winchester,1540,2017,719090,719090,N/A
Woodson Terrace,4072,2017,4385450,4211787.03,1756730
