MUNICIPALITY,POPULATION,General Obligation Debt,Leasehold Debt,Certificates of Participation Debt,"Special Obligation -
Annual Appropriation Debt",Compensated Absenses,Total Debt ,Pension - Actuarial Accrued Liability,Pension - Unfunded Actuarial Accrued Liability,Outstanding Tax Increment Financing (TIF) Debt
Ballwin,30577,0,1007894,0,0,603368,1611262,0,0,11770000
Bel-Nor,1482,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Bel-Ridge,2722,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Bella Villa,740,0,0,0,0,0,0,,,0
Bellefontaine Neighbors,10798,4318691,247686,0,0,129417,4695794,0,0,0
Bellerive Acres,189,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Berkeley,9073,0,0,7785000,0,281370,8066370,0,0,0
Beverly Hills,566,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Black Jack,6947,2114990,0,0,0,0,2114990,0,0,0
Breckenridge Hills,4715,0,27292,0,0,0,27292,0,0,0
Brentwood,8057,0,542666,11135000,0,0,11677666,0,0,25195000
Bridgeton,11786,0,0,20220000,0,0,20220000,0,0,12551796
Calverton Park,1288,0,0,0,0,0,0,0,0,0
Champ,13,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Charlack,1371,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Chesterfield,47864,7340000,0,36460000,0,0,43800000,,,0
Clarkson Valley,2652,0,0,0,0,0,0,,,0
Clayton,15884,15000000,595373,0,26270000,0,41865373,0,0,0
Cool Valley,1187,0,18025,0,0,1970,19995,0,0,0
Country Club Hills,1272,0,0,0,0,0,0,,,2709836
Country Life Acres,74,0,0,0,0,0,0,0,0,0
Crestwood,11966,0,0,0,0,259859,259859,0,0,0
Creve Coeur,18276,0,0,0,0,480701,480701,0,0,0
Crystal Lake Park,499,0,0,0,0,0,0,0,0,0
Dellwood,5011,0,0,0,0,0,0,0,0,0
Des Peres,8572,6100000,0,520000,0,0,6620000,0,0,0
Edmundson,837,0,0,0,0,0,0,0,,0
Ellisville,9284,0,0,2820854,0,0,2820854,0,0,0
Eureka,10602,0,0,10965000,0,0,10965000,0,0,7163282
Fenton,4052,0,0,1360482,0,36187,1396669,,,0
Ferguson,21059,8000000,0,12460000,0,0,20460000,,,6185000
Flordell Hills,814,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Florissant,52268,0,0,4205000,0,0,4205000,,,0
Frontenac,3574,0,0,3664073,0,444380,4108453,,,0
Glen Echo Park,160,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Glendale,5927,136611,0,0,0,0,136611,,,0
Grantwood Village,866,0,0,0,0,0,0,,,0
Green Park,2640,0,0,0,0,0,977735,,,0
Greendale,653,225000,0,0,0,0,225000,,,0
Hanley Hills,2126,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Hazelwood,25661,10590847,1480598,4009412,,1456290,17546174,,,17055000
Hillsdale,1513,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Huntleigh,335,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Jennings,14819,0,0,0,0,0,0,0,0,12880000
Kinloch,299,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Kirkwood,27750,2440,1339,14605,0,0,18384,,,2090
Ladue,8597,0,0,0,0,0,0,,,0
Lakeshire,1428,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Mackenzie,133,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Manchester,18229,1660000,0,0,0,0,1660000,,,44890000
Maplewood,7945,8215000,557492,0,0,407939,11905810,,,16474000
Marlborough,2191,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Maryland Heights,27389,0,0,15104148,0,0,15104148,,,10544250
Moline Acres,2431,2385000,45535,0,0,0,2537147,,,2700000
Normandy,4978,0,0,0,0,0,0,,,0
Northwoods,4193,3184995,0,0,0,0,3246035,,,0
Norwood Court,962,0,0,0,0,0,0,,,0
Oakland,1382,0,0,0,0,0,0,,,0
Olivette,7870,13622113,0,0,0,0,13622113,,,0
Overland,15959,0,0,0,0,0,0,,,0
Pacific,7161,0,1190000,0,3205000,48678,4443678,,,0
Pagedale,3312,0,0,0,0,0,0,,,0
Pasadena Hills,923,1029631,0,0,0,0,1029631,,,0
Pasadena Park,461,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Pine Lawn,3419,0,0,0,0,0,0,,,0
Richmond Heights,8481,0,1826915,5640000,5815000,565419,14170798,,,11485000
Riverview,2835,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Rock Hill,4646,4643570,16783,0,0,154906,4815259,,,18812199
Saint Ann,12940,0,190873,5075000,0,0,5265873,,,0
Saint John,6464,0,0,2750000,0,0,2750000,,,2725000
Saint Louis City,315685,16800000,454100000,4500000,44200000,0,595300000,,,381200000
Shrewsbury,6202,3024740,770000,1920000,,210064,5924804,,,8445786
STL County,1003362,,,,,,0,,,
Sunset Hills,8539,0,0,11145000,0,0,11145000,,,0
Sycamore Hills,670,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Town & Country,11106,0,0,0,0,301864,301864,,,0
Twin Oaks,393,0,0,0,0,5370,5370,,,0
University City,35058,0,0,4194000,305000,919420,5418420,,,0
Uplands Park,446,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Valley Park,6974,0,68490.47,4930000,0,0,4998490.47,,,8047850
Velda City,1403,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Velda Village Hills,1058,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Vinita Park,1886,104300,70916,0,0,0,175216,,,0
Vinita Terrace,278,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Warson Woods,1958,0,0,1230000,0,0,1230000,,,0
Webster Groves,23177,9780000,25644,0,0,0,9805644,,,1159000
Wellston,2323,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Westwood,279,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided,Information Not Provided
Wilbur Park,477,0,0,0,0,0,0,,,0
Wildwood,35899,1480000,0,2530000,0,113135,4123135,,,0
Winchester,1540,0,0,0,0,0,0,,,0
Woodson Terrace,4072,1790000,0,0,0,0,1790000,,,0
,,,,,,,,,,
,,,,,,,,,,
TOTAL,,,462783521.47,174637574,79795000,6420337,925087617.47,0,0,601995089
AVERAGE,,,6907216.73835821,2606530.95522388,1227615.38461538,95825.9253731343,13604229.6686765,0,0,8985001.32835821
MEDIAN,,,0,0,0,0,1503965.5,0,0,0
