MUNICIPALITY,POPULATION,TOTAL REVENUE,PROPERTY TAX REVENUE,PROPERTY TAX % OF TOTAL REVENUE,SALES TAX REVENUE,SALES TAX % OF TOTAL REVENUE,GROSS UTILITY RECEIPTS,GROSS UTILITY % OF TOTAL REVENUE,COURT FINES AND FEES REVENUE (CAFR),COUR FINES AND FEES % OF TOTAL REVENUE
Ballwin,"30,577","$21,670,746",$0,0.00%,"$9,745,004",44.97%,"$4,232,176",19.53%,"$658,412",3.04%
Bel-Nor,"1,482","$713,161","$176,858",24.80%,"$416,151",58.35%,"$46,594",6.53%,"$32,249",4.52%
Bel-Ridge,"2,722","$2,303,725","$275,024",11.94%,"$921,885",40.02%,"$80,674",3.50%,"$196,425",8.53%
Bella Villa,740,"$630,097",$0,0.00%,"$164,976",26.18%,"$52,939",8.40%,"$331,777",52.65%
Bellefontaine Neighbors,"10,798","$7,268,922","$745,347",10.25%,"$268,339",3.69%,"$1,408,961",19.38%,"$744,671",10.24%
Bellerive Acres,189,Information Not Provided,Information Not Provided,,Information Not Provided,,Information Not Provided,,Information Not Provided,
Berkeley,"9,073","$13,071,770","$2,205,264",16.87%,"$3,662,606",28.02%,"$2,521,293",19.29%,"$961,685",7.36%
Beverly Hills,566,"$483,880","$17,748",3.67%,"$108,075",22.34%,"$97,834",20.22%,"$60,260",12.45%
Black Jack,"6,947","$2,949,951","$354,076",12.00%,"$1,586,894",53.79%,"$367,799",12.47%,"$75,436",2.56%
Breckenridge Hills,"4,715","$2,224,048","$106,243",4.78%,"$963,061",43.30%,"$261,358",11.75%,"$436,855",19.64%
Brentwood,"8,057","$23,772,078","$4,014,673",16.89%,"$13,809,326",58.09%,"$3,007,430",12.65%,"$236,784",1.00%
Bridgeton,"11,786","$22,899,318","$990,624",4.33%,"$12,329,531",53.84%,"$2,988,977",13.05%,"$292,342",1.28%
Calverton Park,"1,288","$890,744","$46,139",5.18%,"$289,639",32.52%,"$94,107",10.56%,"$284,215",31.91%
Champ,13,"$60,054",$0,0.00%,$0,0.00%,"$48,833",81.32%,$0,0.00%
Charlack,"1,371","$961,378","$25,910",2.70%,"$285,532",29.70%,"$233,601",24.30%,"$184,497",19.19%
Chesterfield,"47,864","$38,977,774","$3,872",0.01%,"$20,150,313",51.70%,"$8,001,265",20.53%,"$1,065,157",2.73%
Clarkson Valley,"2,652","$950,474","$146,398",15.40%,"$411,636",43.31%,"$121,733",12.81%,"$127,920",13.46%
Clayton,"15,884","$31,241,595","$8,058,411",25.79%,"$7,085,858",22.68%,"$5,434,842",17.40%,"$1,200,721",3.84%
Cool Valley,"1,187","$1,201,005","$36,728",3.06%,"$244,720",20.38%,"$203,612",16.95%,"$198,341",16.51%
Country Club Hills,"1,272","$869,150","$125,218",14.41%,"$414,563",47.70%,"$130,595",15.03%,"$57,509",6.62%
