month,price
1/1/1990,$63 
2/1/1990,$67 
3/1/1990,$75 
4/1/1990,$75 
5/1/1990,$73 
6/1/1990,$70 
7/1/1990,$68 
8/1/1990,$74 
9/1/1990,$76 
10/1/1990,$74 
11/1/1990,$70 
12/1/1990,$73 
1/1/1991,$69 
2/1/1991,$71 
3/1/1991,$72 
4/1/1991,$71 
5/1/1991,$67 
6/1/1991,$66 
7/1/1991,$64 
8/1/1991,$63 
9/1/1991,$67 
10/1/1991,$63 
11/1/1991,$64 
12/1/1991,$63 
1/1/1992,$61 
2/1/1992,$56 
3/1/1992,$56 
4/1/1992,$54 
5/1/1992,$49 
6/1/1992,$48 
7/1/1992,$49 
8/1/1992,$46 
9/1/1992,$47 
10/1/1992,$53 
11/1/1992,$57 
12/1/1992,$64 
1/1/1993,$58 
2/1/1993,$57 
3/1/1993,$55 
4/1/1993,$51 
5/1/1993,$54 
6/1/1993,$55 
7/1/1993,$61 
8/1/1993,$68 
9/1/1993,$72 
10/1/1993,$68 
11/1/1993,$70 
12/1/1993,$72 
1/1/1994,$69 
2/1/1994,$72 
3/1/1994,$76 
4/1/1994,$81 
5/1/1994,$108 
6/1/1994,$128 
7/1/1994,$191 
8/1/1994,$182 
9/1/1994,$202 
10/1/1994,$186 
11/1/1994,$168 
12/1/1994,$149 
1/1/1995,$152 
2/1/1995,$152 
3/1/1995,$163 
4/1/1995,$160 
5/1/1995,$156 
6/1/1995,$142 
7/1/1995,$133 
8/1/1995,$142 
9/1/1995,$125 
10/1/1995,$120 
11/1/1995,$118 
12/1/1995,$100 
1/1/1996,$100 
2/1/1996,$111 
3/1/1996,$106 
4/1/1996,$107 
5/1/1996,$110 
6/1/1996,$106 
7/1/1996,$100 
8/1/1996,$103 
9/1/1996,$97 
10/1/1996,$99 
11/1/1996,$97 
12/1/1996,$90 
1/1/1997,$100 
2/1/1997,$122 
3/1/1997,$137 
4/1/1997,$142 
5/1/1997,$180 
6/1/1997,$155 
7/1/1997,$135 
8/1/1997,$133 
9/1/1997,$133 
10/1/1997,$121 
11/1/1997,$118 
12/1/1997,$130 
1/1/1998,$131 
2/1/1998,$131 
3/1/1998,$120 
4/1/1998,$120 
5/1/1998,$114 
6/1/1998,$104 
7/1/1998,$97 
8/1/1998,$101 
9/1/1998,$96 
10/1/1998,$95 
11/1/1998,$98 
12/1/1998,$101 
1/1/1999,$98 
2/1/1999,$92 
3/1/1999,$89 
4/1/1999,$86 
5/1/1999,$90 
6/1/1999,$86 
7/1/1999,$78 
8/1/1999,$77 
9/1/1999,$72 
10/1/1999,$76 
11/1/1999,$88 
12/1/1999,$96 
1/1/2000,$82 
2/1/2000,$76 
3/1/2000,$73 
4/1/2000,$70 
5/1/2000,$69 
6/1/2000,$65 
7/1/2000,$64 
8/1/2000,$58 
9/1/2000,$57 
10/1/2000,$56 
11/1/2000,$52 
12/1/2000,$48 
1/1/2001,$49 
2/1/2001,$49 
3/1/2001,$49 
4/1/2001,$47 
5/1/2001,$49 
6/1/2001,$47 
7/1/2001,$43 
8/1/2001,$43 
9/1/2001,$41 
10/1/2001,$42 
11/1/2001,$44 
12/1/2001,$43 
1/1/2002,$43 
2/1/2002,$44 
3/1/2002,$49 
4/1/2002,$50 
5/1/2002,$47 
6/1/2002,$46 
7/1/2002,$45 
8/1/2002,$43 
9/1/2002,$48 
10/1/2002,$51 
11/1/2002,$55 
12/1/2002,$52 
1/1/2003,$54 
2/1/2003,$54 
3/1/2003,$50 
4/1/2003,$52 
5/1/2003,$53 
6/1/2003,$49 
7/1/2003,$51 
8/1/2003,$52 
9/1/2003,$54 
10/1/2003,$52 
11/1/2003,$50 
12/1/2003,$52 
1/1/2004,$59 
2/1/2004,$60 
3/1/2004,$61 
4/1/2004,$59 
5/1/2004,$60 
6/1/2004,$64 
7/1/2004,$58 
8/1/2004,$57 
9/1/2004,$61 
10/1/2004,$61 
11/1/2004,$68 
12/1/2004,$78 
1/1/2005,$79 
2/1/2005,$89 
3/1/2005,$101 
4/1/2005,$98 
5/1/2005,$100 
6/1/2005,$96 
7/1/2005,$88 
8/1/2005,$85 
9/1/2005,$79 
10/1/2005,$83 
11/1/2005,$86 
12/1/2005,$87 
1/1/2006,$101 
2/1/2006,$97 
3/1/2006,$93 
4/1/2006,$94 
5/1/2006,$90 
6/1/2006,$86 
7/1/2006,$89 
8/1/2006,$96 
9/1/2006,$96 
10/1/2006,$96 
11/1/2006,$103 
12/1/2006,$108 
1/1/2007,$106 
2/1/2007,$104 
3/1/2007,$100 
4/1/2007,$99 
5/1/2007,$100 
6/1/2007,$107 
7/1/2007,$106 
8/1/2007,$108 
9/1/2007,$113 
10/1/2007,$116 
11/1/2007,$114 
12/1/2007,$118 
1/1/2008,$122 
2/1/2008,$139 
3/1/2008,$136 
4/1/2008,$127 
5/1/2008,$127 
6/1/2008,$131 
7/1/2008,$133 
8/1/2008,$131 
9/1/2008,$127 
10/1/2008,$108 
11/1/2008,$108 
12/1/2008,$103 
1/1/2009,$108 
2/1/2009,$108 
3/1/2009,$106 
4/1/2009,$112 
5/1/2009,$123 
6/1/2009,$119 
7/1/2009,$113 
8/1/2009,$117 
9/1/2009,$116 
10/1/2009,$121 
11/1/2009,$120 
12/1/2009,$125 
1/1/2010,$127 
2/1/2010,$123 
3/1/2010,$125 
4/1/2010,$127 
5/1/2010,$128 
6/1/2010,$142 
7/1/2010,$153 
8/1/2010,$157 
9/1/2010,$164 
10/1/2010,$162 
11/1/2010,$174 
12/1/2010,$184 
1/1/2011,$197 
2/1/2011,$216 
3/1/2011,$224 
